 ,q_and_a,question,answer
210," ""Why is there no sound? ### The volume is muted. You need to unmute the volume from the Control Panel.","""Why is there no sound?",The volume is muted. You need to unmute the volume from the Control Panel.
211,"""Why is the computer not responding? ### The computer is in standby mode. You need to press the power button to resume from standby mode."," ""Why is the computer not responding?",The computer is in standby mode. You need to press the power button to resume from standby mode.
212," ""Why is there noise or no sound coming out of the speakers or headphones? ### The computer may not be detecting the correct speaker/headphone type or output or analog-to-digital auto-sense is not engaged. You need to use the multimedia device properties to manually switch the audio signal from analog to digital.","""Why is there noise or no sound coming out of the speakers or headphones?",The computer may not be detecting the correct speaker/headphone type or output or analog-to-digital auto-sense is not engaged. You need to use the multimedia device properties to manually switch the audio signal from analog to digital.
213," ""Why is the computer locked up while recording audio? ### The hard disk may be full. You need to make sure there is enough free space on the hard disk before recording. You can also try recording the audio file in a compressed format.","""Why is the computer locked up while recording audio?",The hard disk may be full. You need to make sure there is enough free space on the hard disk before recording. You can also try recording the audio file in a compressed format.
214," ""Why is the internal speaker and external analog speakers not outputting audio? ### If you set digital as the Output Mode, the internal speaker and external analog speakers will no longer output audio until you switch back to an auto-sense or analog mode.","""Why is the internal speaker and external analog speakers not outputting audio?","If you set digital as the Output Mode, the internal speaker and external analog speakers will no longer output audio until you switch back to an auto-sense or analog mode."
215," ""Why are the external digital speakers not functioning? ### If you set analog as the Output Mode, external digital speakers will not function until you change the output mode back to an auto-sense or digital mode.","""Why are the external digital speakers not functioning?","If you set analog as the Output Mode, external digital speakers will not function until you change the output mode back to an auto-sense or digital mode."
216," ""How can I change the Audio Output Mode? ### For information on how to change the Audio Output Mode, see Appendix D, “Setting up Analog/Digital Audio Output.”","""How can I change the Audio Output Mode?","For information on how to change the Audio Output Mode, see Appendix D, “Setting up Analog/Digital Audio Output.”"
217,"""What should I do if I encounter printer problems? ### If you encounter printer problems, see the documentation that came with the printer.","""What should I do if I encounter printer problems?","If you encounter printer problems, see the documentation that came with the printer."
218,"What should I do if my printer will not print?### If your printer will not print, there could be several causes. The printer might not be turned on and online, in which case you should turn the printer on and make sure it is online. The correct printer drivers for the application might not be installed, so you should install the correct printer driver for the application and try printing using the MS-DOS command. If you are on a network, you may not have made the connection to the printer, so you should make the proper network connections to the printer. The printer may have failed, in which case you should run a printer self-test.",What should I do if my printer will not print?,"If your printer will not print, there could be several causes. The printer might not be turned on and online, in which case you should turn the printer on and make sure it is online. The correct printer drivers for the application might not be installed, so you should install the correct printer driver for the application and try printing using the MS-DOS command. If you are on a network, you may not have made the connection to the printer, so you should make the proper network connections to the printer. The printer may have failed, in which case you should run a printer self-test."
219,"What should I do if my printer will not turn on?### If your printer will not turn on, the cables may not be connected properly. You should reconnect all cables and check the power cord and electrical outlet.",What should I do if my printer will not turn on?,"If your printer will not turn on, the cables may not be connected properly. You should reconnect all cables and check the power cord and electrical outlet."
220,"What should I do if my printer prints garbled information?### If your printer prints garbled information, the correct printer driver for the application might not be installed, so you should install the correct printer driver for the application. The cables may not be connected properly, so you should reconnect all cables. The printer memory may be overloaded, so you should reset the printer by turning it off for one minute, then turn it back on.",What should I do if my printer prints garbled information?,"If your printer prints garbled information, the correct printer driver for the application might not be installed, so you should install the correct printer driver for the application. The cables may not be connected properly, so you should reconnect all cables. The printer memory may be overloaded, so you should reset the printer by turning it off for one minute, then turn it back on."
221,"What should I do if my printer is offline?### If your printer is offline, the printer may be out of paper. You should check the paper tray and refill it if it is empty. Then, select online.",What should I do if my printer is offline?,"If your printer is offline, the printer may be out of paper. You should check the paper tray and refill it if it is empty. Then, select online."
222,"What should I do if keyboard commands and typing are not recognized by the computer?### If keyboard commands and typing are not recognized by the computer, the keyboard connector might not be properly connected. You should reconnect the keyboard to the back of the computer and restart the computer. The program in use might have stopped responding to commands, so you should shut down your computer using the mouse and then restart the computer. The keyboard might need repairs, in which case you should see the Worldwide Limited Warranty for terms and conditions. The computer might be in standby mode, so you should press the power button to resume from standby mode.",What should I do if keyboard commands and typing are not recognized by the computer?,"If keyboard commands and typing are not recognized by the computer, the keyboard connector might not be properly connected. You should reconnect the keyboard to the back of the computer and restart the computer. The program in use might have stopped responding to commands, so you should shut down your computer using the mouse and then restart the computer. The keyboard might need repairs, in which case you should see the Worldwide Limited Warranty for terms and conditions. The computer might be in standby mode, so you should press the power button to resume from standby mode."
223,"What should I do if the cursor will not move using the arrow keys on the keypad?### If the cursor will not move using the arrow keys on the keypad, the Num Lock key may be on. You should press the Num Lock key. The Num Lock light should not be on if you want to use the arrow keys. The Num Lock key can be disabled (or enabled) in Computer Setup.",What should I do if the cursor will not move using the arrow keys on the keypad?,"If the cursor will not move using the arrow keys on the keypad, the Num Lock key may be on. You should press the Num Lock key. The Num Lock light should not be on if you want to use the arrow keys. The Num Lock key can be disabled (or enabled) in Computer Setup."
224,"""Mouse does not respond to movement or is too slow, what could be the problem?### The mouse connector might not be properly plugged into the back of the computer. You can solve this by shutting down the computer using the keyboard and then plugging the mouse connector into the back of the computer (or the keyboard) and restarting.","""Mouse does not respond to movement or is too slow, what could be the problem?",The mouse connector might not be properly plugged into the back of the computer. You can solve this by shutting down the computer using the keyboard and then plugging the mouse connector into the back of the computer (or the keyboard) and restarting.
225,What if a program in use has stopped responding to commands?### You can solve this by shutting down the computer using the keyboard and then restarting the computer.,What if a program in use has stopped responding to commands?,You can solve this by shutting down the computer using the keyboard and then restarting the computer.
226,What if the mouse may need cleaning?### You can remove the roller ball cover on the mouse and clean the internal components.,What if the mouse may need cleaning?,You can remove the roller ball cover on the mouse and clean the internal components.
227,What if the mouse may need repair?### You can refer to the Worldwide Limited Warranty for terms and conditions.,What if the mouse may need repair?,You can refer to the Worldwide Limited Warranty for terms and conditions.
228,"What if the computer is in standby mode?### You can press the power button to resume from standby mode. However, do not hold down the power button for more than four seconds. Otherwise, the computer will shut down and you will lose your data.",What if the computer is in standby mode?,"You can press the power button to resume from standby mode. However, do not hold down the power button for more than four seconds. Otherwise, the computer will shut down and you will lose your data."
229,"What if the mouse will only move vertically, horizontally, or movement is jerky?### The mouse roller ball might be dirty. You can remove the roller ball cover from the bottom of the mouse and clean it with a mouse cleaning kit available from most computer stores.","What if the mouse will only move vertically, horizontally, or movement is jerky?",The mouse roller ball might be dirty. You can remove the roller ball cover from the bottom of the mouse and clean it with a mouse cleaning kit available from most computer stores.
230,What if a new device is not recognized as part of the system?### The device might not be seated or connected properly. Ensure that the device is properly and securely connected and that pins in the connector are not bent down.,What if a new device is not recognized as part of the system?,The device might not be seated or connected properly. Ensure that the device is properly and securely connected and that pins in the connector are not bent down.
231,What if the cable(s) of new external device are loose or power cables are unplugged?### Ensure that all cables are properly and securely connected and that pins in the cable or connector are not bent down.,What if the cable(s) of new external device are loose or power cables are unplugged?,Ensure that all cables are properly and securely connected and that pins in the cable or connector are not bent down.
232,"What if the power switch of new external device is not turned on?### Turn off the computer, turn on the external device, then turn on the computer to integrate the device with the computer system.",What if the power switch of new external device is not turned on?,"Turn off the computer, turn on the external device, then turn on the computer to integrate the device with the computer system."
233,"What if when the system advised you of changes to the configuration, you did not accept them?### Reboot the computer and follow the instructions for accepting the changes.","What if when the system advised you of changes to the configuration, you did not accept them?",Reboot the computer and follow the instructions for accepting the changes.
234,"What if a plug and play board is not recognized?### If you install a plug and play device, Windows XP should automatically recognize the device and configure the computer. If it doesn't, you may need to reconfigure the computer after completing installation of the new hardware. In Windows XP, use the Add Hardware Wizard and follow the instructions that appear on the screen.",What if a plug and play board is not recognized?,"If you install a plug and play device, Windows XP should automatically recognize the device and configure the computer. If it doesn't, you may need to reconfigure the computer after completing installation of the new hardware. In Windows XP, use the Add Hardware Wizard and follow the instructions that appear on the screen."
235,"What if you install a non–plug and play device?### You must reconfigure the computer after completing installation of the new hardware. In Windows XP, use the Add Hardware Wizard and follow the instructions that appear on the screen.",What if you install a non–plug and play device?,"You must reconfigure the computer after completing installation of the new hardware. In Windows XP, use the Add Hardware Wizard and follow the instructions that appear on the screen."
236,"""""When the system advised you of changes to the configuration, you did not accept them. What should you do?""### ""You should reboot the computer and follow the instructions for accepting the changes.""","""""When the system advised you of changes to the configuration, you did not accept them. What should you do?""","""You should reboot the computer and follow the instructions for accepting the changes."""
237,"""What might prevent a plug and play board from automatically configuring when added?""### ""The default configuration might conflict with other devices.""","""What might prevent a plug and play board from automatically configuring when added?""","""The default configuration might conflict with other devices."""
238,"""What can you do if a plug and play board does not automatically configure when added?""### ""You can use Windows XP Device Manager to deselect the automatic settings for the board and choose a basic configuration that does not cause a resource conflict. You can also use Computer Setup to reconfigure or disable devices to resolve the resource conflict.""","""What can you do if a plug and play board does not automatically configure when added?""","""You can use Windows XP Device Manager to deselect the automatic settings for the board and choose a basic configuration that does not cause a resource conflict. You can also use Computer Setup to reconfigure or disable devices to resolve the resource conflict."""
239,"""What should you do if your computer will not start after a memory upgrade?""### ""You should review the documentation that came with the system to determine if you are using the correct memory modules and to verify the proper installation. You should also observe the beeps and LED lights on the front of the computer to determine possible causes. If you still cannot resolve the issue, you should contact Customer Support.""","""What should you do if your computer will not start after a memory upgrade?""","""You should review the documentation that came with the system to determine if you are using the correct memory modules and to verify the proper installation. You should also observe the beeps and LED lights on the front of the computer to determine possible causes. If you still cannot resolve the issue, you should contact Customer Support."""
240,"""What does it mean if the Power LED flashes Red five times, once every second, followed by a two second pause, and the computer beeps five times?""### ""This indicates that the memory is installed incorrectly or is bad.""","""What does it mean if the Power LED flashes Red five times, once every second, followed by a two second pause, and the computer beeps five times?""","""This indicates that the memory is installed incorrectly or is bad."""
241,"""What should you do if the Power LED flashes Red five times, once every second, followed by a two second pause, and the computer beeps five times?""### ""You should reseat DIMMs and power on the system. If this does not resolve the issue, you should replace DIMMs one at a time to isolate the faulty module. If the problem persists, you should replace third-party memory with HP memory. If all else fails, you should replace the system board.""","""What should you do if the Power LED flashes Red five times, once every second, followed by a two second pause, and the computer beeps five times?""","""You should reseat DIMMs and power on the system. If this does not resolve the issue, you should replace DIMMs one at a time to isolate the faulty module. If the problem persists, you should replace third-party memory with HP memory. If all else fails, you should replace the system board."""
242,"""What does it mean if the Power LED flashes Red six times, once every second, followed by a two second pause, and the computer beeps six times?""### ""This indicates that the video card is not seated properly or is bad, or the system board is bad.""","""What does it mean if the Power LED flashes Red six times, once every second, followed by a two second pause, and the computer beeps six times?""","""This indicates that the video card is not seated properly or is bad, or the system board is bad."""
243,"""What should you do if the Power LED flashes Red six times, once every second, followed by a two second pause, and the computer beeps six times?""### ""For systems with a graphics card, you should reseat the graphics card and power on the system. If this does not resolve the issue, you should replace the graphics card. If the problem persists, you should replace the system board. For systems with integrated graphics, you should replace the system board.""","""What should you do if the Power LED flashes Red six times, once every second, followed by a two second pause, and the computer beeps six times?""","""For systems with a graphics card, you should reseat the graphics card and power on the system. If this does not resolve the issue, you should replace the graphics card. If the problem persists, you should replace the system board. For systems with integrated graphics, you should replace the system board."""
244,"""What does it mean if the Power LED flashes Red ten times, once every second, followed by a two second pause, and the computer beeps ten times?""### ""This indicates that there is a bad option card.""","""What does it mean if the Power LED flashes Red ten times, once every second, followed by a two second pause, and the computer beeps ten times?""","""This indicates that there is a bad option card."""
245,"""What should you do if the Power LED flashes Red ten times, once every second, followed by a two second pause, and the computer beeps ten times?""### ""You should check each option card by removing the cards one at time (if multiple cards), then power on the system to see if the fault goes away. Once the bad card is identified, you should remove and replace the bad option card. If the problem persists, you should replace the system board.""","""What should you do if the Power LED flashes Red ten times, once every second, followed by a two second pause, and the computer beeps ten times?""","""You should check each option card by removing the cards one at time (if multiple cards), then power on the system to see if the fault goes away. Once the bad card is identified, you should remove and replace the bad option card. If the problem persists, you should replace the system board."""
246,"""What might cause the Wake-on-LAN feature to not function?""### ""The Wake-on-LAN feature might not be enabled.""","""What might cause the Wake-on-LAN feature to not function?""","""The Wake-on-LAN feature might not be enabled."""
247,"""How can you enable the Wake-on-LAN feature?""### ""You can enable the Wake-on-LAN feature by selecting Start > Control Panel. Then, double-click Network Connections. Next, double-click Local Area Connection. Click Properties and then click Configure.""","""How can you enable the Wake-on-LAN feature?""","""You can enable the Wake-on-LAN feature by selecting Start > Control Panel. Then, double-click Network Connections. Next, double-click Local Area Connection. Click Properties and then click Configure."""
248,"""Network controller is not configured for this computer. How can it be configured?""### ""Select the Network icon in the Control Panel and configure the network controller.""","""Network controller is not configured for this computer. How can it be configured?""","""Select the Network icon in the Control Panel and configure the network controller."""
249,"""Network controller stopped working when an expansion board was added to the computer. What could be the issue?""### ""The network controller interrupt is shared with an expansion board. Under the Computer Setup Advanced menu, change the resource settings for the board.""","""Network controller stopped working when an expansion board was added to the computer. What could be the issue?""","""The network controller interrupt is shared with an expansion board. Under the Computer Setup Advanced menu, change the resource settings for the board."""
250,"""What should be done if the network controller requires drivers?""### ""Verify that the drivers were not accidentally deleted when the drivers for a new expansion board were installed.""","""What should be done if the network controller requires drivers?""","""Verify that the drivers were not accidentally deleted when the drivers for a new expansion board were installed."""
251,"""What if the expansion board installed is a network card (NIC) and conflicts with the embedded NIC?""### ""Under the Computer Setup Advanced menu, change the resource settings for the board.""","""What if the expansion board installed is a network card (NIC) and conflicts with the embedded NIC?""","""Under the Computer Setup Advanced menu, change the resource settings for the board."""
252,"""What to do if the network controller stops working without apparent cause?""### ""The files containing the network drivers are corrupted. Reinstall the network drivers, using the Restore Plus! CD.""","""What to do if the network controller stops working without apparent cause?""","""The files containing the network drivers are corrupted. Reinstall the network drivers, using the Restore Plus! CD."""
253,"""What if the cable is not securely connected?""### ""Ensure that the cable is securely attached to the network connector and that the other end of the cable is securely attached to the correct device.""","""What if the cable is not securely connected?""","""Ensure that the cable is securely attached to the network connector and that the other end of the cable is securely attached to the correct device."""
254,"""What if the network controller is defective?""### ""Contact an authorized service provider.""","""What if the network controller is defective?""","""Contact an authorized service provider."""
255,"""What to do if a new network card will not boot?""### ""The new network card may be defective or may not meet industry-standard specifications. Install a working, industry-standard NIC, or change the boot sequence to boot from another source.""","""What to do if a new network card will not boot?""","""The new network card may be defective or may not meet industry-standard specifications. Install a working, industry-standard NIC, or change the boot sequence to boot from another source."""
256,"""What if I cannot connect to network server when attempting Remote System Installation?""### ""The network controller is not configured properly. Verify Network Connectivity, that a DHCP Server is present, and that the Remote System Installation Server contains the NIC drivers for your NIC.""","""What if I cannot connect to network server when attempting Remote System Installation?""","""The network controller is not configured properly. Verify Network Connectivity, that a DHCP Server is present, and that the Remote System Installation Server contains the NIC drivers for your NIC."""
257,"""What if the system setup utility reports unprogrammed EEPROM?""### ""The EEPROM is unprogrammed. Contact an authorized service provider.""","""What if the system setup utility reports unprogrammed EEPROM?""","""The EEPROM is unprogrammed. Contact an authorized service provider."""
258,"""What if the system will not boot or does not function properly after installing additional memory modules?""### ""The memory module is not the correct type or speed grade for the system or the new memory module is not seated properly. Replace module with the correct industry-standard device for the computer.""","""What if the system will not boot or does not function properly after installing additional memory modules?""","""The memory module is not the correct type or speed grade for the system or the new memory module is not seated properly. Replace module with the correct industry-standard device for the computer."""
259,"""What to do in case of an out of memory error?""### ""The memory configuration may not be set up correctly. Use the Device Manager to check.""","""What to do in case of an out of memory error?""","""The memory configuration may not be set up correctly. Use the Device Manager to check."""
260,"""Can ECC and non-ECC memory modules be mixed in some models?""### No, on some models, ECC and non-ECC memory modules cannot be mixed.","""Can ECC and non-ECC memory modules be mixed in some models?""","No, on some models, ECC and non-ECC memory modules cannot be mixed."
261,"""What should you do when you get an out of memory error?""### You should use the Device Manager to check memory configuration. The memory configuration may not be set up correctly.","""What should you do when you get an out of memory error?""",You should use the Device Manager to check memory configuration. The memory configuration may not be set up correctly.
262,"""What should you do when you run out of memory to run an application?""### You should check the application documentation to determine the memory requirements.","""What should you do when you run out of memory to run an application?""",You should check the application documentation to determine the memory requirements.
263,"""What could be the reason if the memory count during POST is wrong?""### The memory modules may not be installed correctly. You should check that the memory modules have been installed correctly and that proper modules are used.","""What could be the reason if the memory count during POST is wrong?""",The memory modules may not be installed correctly. You should check that the memory modules have been installed correctly and that proper modules are used.
264,"""Do integrated graphics use system memory?""### Yes, integrated graphics may use system memory.","""Do integrated graphics use system memory?""","Yes, integrated graphics may use system memory."
265,"""What could be the cause of an insufficient memory error during operation?""### Too many Terminate and Stay Resident programs (TSRs) are installed. You should delete any TSRs that you do not need.","""What could be the cause of an insufficient memory error during operation?""",Too many Terminate and Stay Resident programs (TSRs) are installed. You should delete any TSRs that you do not need.
266,"""What should you do if you run out of memory for the application?""### You should check the memory requirements for the application or add more memory to the computer.","""What should you do if you run out of memory for the application?""",You should check the memory requirements for the application or add more memory to the computer.
267,"""What should you do if the Power LED flashes Red five times, once every second, followed by a two second pause, and the computer beeps five times?""### The memory is installed incorrectly or is bad. You should reseat DIMMs, replace DIMMs one at a time to isolate the faulty module, replace third-party memory with HP memory, or replace the system board.","""What should you do if the Power LED flashes Red five times, once every second, followed by a two second pause, and the computer beeps five times?""","The memory is installed incorrectly or is bad. You should reseat DIMMs, replace DIMMs one at a time to isolate the faulty module, replace third-party memory with HP memory, or replace the system board."
268,"""What could be the reason for poor performance?""### The processor could be hot. You should make sure the airflow to the computer is not blocked, make sure the fans are connected and working properly, and make sure the processor heatsink is installed properly.","""What could be the reason for poor performance?""","The processor could be hot. You should make sure the airflow to the computer is not blocked, make sure the fans are connected and working properly, and make sure the processor heatsink is installed properly."
269,"""What should you do if the Power LED flashes Red three times, once every second, followed by a two second pause?""### The processor is not seated properly or not installed. You should check to see that the processor is present and reseat the processor.","""What should you do if the Power LED flashes Red three times, once every second, followed by a two second pause?""",The processor is not seated properly or not installed. You should check to see that the processor is present and reseat the processor.
270,"""What should you do if the system will not boot from CD-ROM or DVD drive?""### You should run the Computer Setup utility and enable booting to removable media in Storage > Storage Options. Ensure IDE CD-ROM is enabled in Storage > Boot Order.","""What should you do if the system will not boot from CD-ROM or DVD drive?""",You should run the Computer Setup utility and enable booting to removable media in Storage > Storage Options. Ensure IDE CD-ROM is enabled in Storage > Boot Order.
271,"""What could be the reason if CD-ROM or DVD devices are not detected or driver is not loaded?""### The drive is not connected. You should check the connection of the drive.","""What could be the reason if CD-ROM or DVD devices are not detected or driver is not loaded?""",The drive is not connected. You should check the connection of the drive.
272,"""Boot order not correct. Run the Computer Setup utility and change boot sequence in Storage > Boot Order.""### To correct the boot order, you need to run the Computer Setup utility and change the boot sequence in Storage > Boot Order.","""Boot order not correct. Run the Computer Setup utility and change boot sequence in Storage > Boot Order.""","To correct the boot order, you need to run the Computer Setup utility and change the boot sequence in Storage > Boot Order."
273,"""CD-ROM or DVD devices are not detected or driver is not loaded.""### If your CD-ROM or DVD devices are not detected or the driver is not loaded, it could be because the drive is not connected properly or not properly configured. You should refer to the documentation that came with the optional device.","""CD-ROM or DVD devices are not detected or driver is not loaded.""","If your CD-ROM or DVD devices are not detected or the driver is not loaded, it could be because the drive is not connected properly or not properly configured. You should refer to the documentation that came with the optional device."
274,"""Movie will not play in the DVD drive.""### If a movie will not play in the DVD drive, it could be because the movie may be regionalized for a different country. You should refer to the documentation that came with the DVD drive.","""Movie will not play in the DVD drive.""","If a movie will not play in the DVD drive, it could be because the movie may be regionalized for a different country. You should refer to the documentation that came with the DVD drive."
275,"""Decoder software is not installed.""### If the decoder software is not installed, you should install the decoder software.","""Decoder software is not installed.""","If the decoder software is not installed, you should install the decoder software."
276,"""Damaged media.""### If the media is damaged, you should replace the media.","""Damaged media.""","If the media is damaged, you should replace the media."
277,"""Movie rating locked out by parental lock.""### If the movie rating is locked out by parental lock, you should use DVD software to remove the parental lock.","""Movie rating locked out by parental lock.""","If the movie rating is locked out by parental lock, you should use DVD software to remove the parental lock."
278,"""Media installed upside down.""### If the media is installed upside down, you should reinstall the media.","""Media installed upside down.""","If the media is installed upside down, you should reinstall the media."
279,"""Cannot eject compact disc (tray-load unit).""### If you cannot eject a compact disc from a tray-load unit, it could be because the disc is not properly seated in the drive. You should turn off the computer and insert a thin metal rod into the emergency eject hole and push firmly. Slowly pull the tray out from the drive until the tray is fully extended, then remove the disc.","""Cannot eject compact disc (tray-load unit).""","If you cannot eject a compact disc from a tray-load unit, it could be because the disc is not properly seated in the drive. You should turn off the computer and insert a thin metal rod into the emergency eject hole and push firmly. Slowly pull the tray out from the drive until the tray is fully extended, then remove the disc."
280,"""CD-ROM, CD-RW, DVD-ROM, or DVD-R/RW drive cannot read a disc or takes too long to start.""### If your CD-ROM, CD-RW, DVD-ROM, or DVD-R/RW drive cannot read a disc or takes too long to start, it could be because the media has been inserted upside down. You should re-insert the Media with the label facing up. The DVD-ROM drive takes longer to start because it has to determine the type of media played, such as audio or video. You should wait at least 30 seconds to let the DVD-ROM drive determine the type of media being played. If the disc still does not start, read the other solutions listed for this topic.","""CD-ROM, CD-RW, DVD-ROM, or DVD-R/RW drive cannot read a disc or takes too long to start.""","If your CD-ROM, CD-RW, DVD-ROM, or DVD-R/RW drive cannot read a disc or takes too long to start, it could be because the media has been inserted upside down. You should re-insert the Media with the label facing up. The DVD-ROM drive takes longer to start because it has to determine the type of media played, such as audio or video. You should wait at least 30 seconds to let the DVD-ROM drive determine the type of media being played. If the disc still does not start, read the other solutions listed for this topic."
281,"""Windows does not detect the CD-ROM or DVD-ROM drive.""### If Windows does not detect the CD-ROM or DVD-ROM drive, you should use Device Manager to remove or uninstall the device in question. Then, restart the computer and let Windows detect the CD or DVD driver.","""Windows does not detect the CD-ROM or DVD-ROM drive.""","If Windows does not detect the CD-ROM or DVD-ROM drive, you should use Device Manager to remove or uninstall the device in question. Then, restart the computer and let Windows detect the CD or DVD driver."
282,"""Recording audio CDs is difficult or impossible.""### If recording audio CDs is difficult or impossible, it could be because of the wrong or poor quality media type. You should try using a slower speed when recording, verify that you are using the correct media for the drive, and try a different brand of media. Quality varies widely between manufacturers.","""Recording audio CDs is difficult or impossible.""","If recording audio CDs is difficult or impossible, it could be because of the wrong or poor quality media type. You should try using a slower speed when recording, verify that you are using the correct media for the drive, and try a different brand of media. Quality varies widely between manufacturers."
283,"""Drive Key is not seen as a drive letter in Windows XP.""### If the Drive Key is not seen as a drive letter in Windows XP, it could be because the drive letter after the last physical drive is not available. You should change the default drive letter for the Drive Key in Windows XP.","""Drive Key is not seen as a drive letter in Windows XP.""","If the Drive Key is not seen as a drive letter in Windows XP, it could be because the drive letter after the last physical drive is not available. You should change the default drive letter for the Drive Key in Windows XP."
284,"""The computer boots to DOS after making a bootable Drive Key.""### If the computer boots to DOS after making a bootable Drive Key, it could be because the Drive Key is bootable. You should install the Drive Key only after the operating system boots.","""The computer boots to DOS after making a bootable Drive Key.""","If the computer boots to DOS after making a bootable Drive Key, it could be because the Drive Key is bootable. You should install the Drive Key only after the operating system boots."
285,"""Unable to connect to the Internet.""### If you are unable to connect to the Internet, it could be because the network cable is not connected, your Internet Service Provider (ISP) account is not set up properly, your Internet settings are not configured properly, your network drivers are not installed or are configured incorrectly, or your network controller is not set up properly. You should connect the network cable, set up your ISP account and configure your Internet connection settings, configure your Internet settings, install or reconfigure your network drivers, and set up your network controller. If your network or Internet connection is slow, you should close unnecessary applications. If your network or Internet connection is dropping out, you should move the computer closer to the router, or try to reduce interference from other devices. If you cannot access certain websites, it could be because the website may be down or experiencing problems, your firewall or security settings may be blocking access, or your browser settings may be incorrect. You should check if the website is down for everyone or just you, check your firewall and security settings, and check and adjust your browser settings.","""Unable to connect to the Internet.""","If you are unable to connect to the Internet, it could be because the network cable is not connected, your Internet Service Provider (ISP) account is not set up properly, your Internet settings are not configured properly, your network drivers are not installed or are configured incorrectly, or your network controller is not set up properly. You should connect the network cable, set up your ISP account and configure your Internet connection settings, configure your Internet settings, install or reconfigure your network drivers, and set up your network controller. If your network or Internet connection is slow, you should close unnecessary applications. If your network or Internet connection is dropping out, you should move the computer closer to the router, or try to reduce interference from other devices. If you cannot access certain websites, it could be because the website may be down or experiencing problems, your firewall or security settings may be blocking access, or your browser settings may be incorrect. You should check if the website is down for everyone or just you, check your firewall and security settings, and check and adjust your browser settings."
286,"""What should I do if I'm unable to connect to the Internet because my Internet Service Provider (ISP) account is not set up properly?### Verify Internet settings or contact your ISP for assistance.","""What should I do if I'm unable to connect to the Internet because my Internet Service Provider (ISP) account is not set up properly?",Verify Internet settings or contact your ISP for assistance.
287,"""What should I do if my modem is not set up properly?### Reconnect the modem. Verify the connections are correct using the quick setup documentation.","""What should I do if my modem is not set up properly?",Reconnect the modem. Verify the connections are correct using the quick setup documentation.
288,"""What should I do if my web browser is not set up properly?### Verify that the Web browser is installed and set up to work with your ISP.","""What should I do if my web browser is not set up properly?",Verify that the Web browser is installed and set up to work with your ISP.
289,"""What should I do if my Cable/DSL modem is not plugged in?### Plug in cable/DSL modem. You should see a “power” LED light on the front of the cable/DSL modem.","""What should I do if my Cable/DSL modem is not plugged in?",Plug in cable/DSL modem. You should see a “power” LED light on the front of the cable/DSL modem.
290,"""What should I do if my Cable/DSL service is not available or has been interrupted due to bad weather?### Try connecting to the Internet at a later time or contact your ISP.","""What should I do if my Cable/DSL service is not available or has been interrupted due to bad weather?",Try connecting to the Internet at a later time or contact your ISP.
291,"""What should I do if the CAT5 UTP cable is disconnected?### Connect the CAT5 UTP cable between the cable modem and the computers’s RJ-45 connector.","""What should I do if the CAT5 UTP cable is disconnected?",Connect the CAT5 UTP cable between the cable modem and the computers’s RJ-45 connector.
292,"""What should I do if my IP address is not configured properly?### Contact your ISP for the correct IP address.","""What should I do if my IP address is not configured properly?",Contact your ISP for the correct IP address.
293,"""What should I do if my cookies are corrupted?### In Windows XP: 1. Select Start > Control Panel. 2. Double-click Internet Options. 3. On the General tab, click the Delete Cookies button.","""What should I do if my cookies are corrupted?","In Windows XP: 1. Select Start > Control Panel. 2. Double-click Internet Options. 3. On the General tab, click the Delete Cookies button."
294,"""What should I do if I cannot automatically launch Internet programs?### Log on to your ISP and launch the desired program.","""What should I do if I cannot automatically launch Internet programs?",Log on to your ISP and launch the desired program.
295,"""What should I do if the Internet takes too long to download websites?### Verify that the correct modem speed and COM port are selected.","""What should I do if the Internet takes too long to download websites?",Verify that the correct modem speed and COM port are selected.
296,"""What are some common causes of software problems?### Most software problems occur as a result of the application not being installed or configured correctly, or there being insufficient memory available to run the application.","""What are some common causes of software problems?","Most software problems occur as a result of the application not being installed or configured correctly, or there being insufficient memory available to run the application."
297,"What are some common causes of software problems? ### Some common causes of software problems include incorrect installation or configuration of the application, insufficient memory to run the application, conflicts between applications, missing device drivers, and unsupported operating systems.",What are some common causes of software problems?,"Some common causes of software problems include incorrect installation or configuration of the application, insufficient memory to run the application, conflicts between applications, missing device drivers, and unsupported operating systems."
298,"What should you do if you encounter software problems? ### If you encounter software problems, you should refer to the troubleshooting guide provided with the software. This may include running a Configuration Record utility, checking for POST error messages, using a recovery diskette to scan for errors, or contacting customer support.",What should you do if you encounter software problems?,"If you encounter software problems, you should refer to the troubleshooting guide provided with the software. This may include running a Configuration Record utility, checking for POST error messages, using a recovery diskette to scan for errors, or contacting customer support."
